"game_id","season","era","home_team_name","away_team_name","home_team_id","away_team_id","true_home","bye","mnf","tnf","point_diff","spread_line","days_since_last_game_home_team","days_since_last_game_away_team"
2002090811,2002,"2002-10","DEN","LA",10,17,1,0,0,0,7,-3,NA,NA
2002091511,2002,"2002-10","SF","DEN",29,10,1,0,0,1,-10,3.5,10,7
2002100605,2002,"2002-10","DEN","LAC",10,18,1,0,-1,0,17,6.5,6,7
2002101311,2002,"2002-10","DEN","MIA",10,20,1,0,0,0,-2,3.5,7,7
2002102006,2002,"2002-10","KC","DEN",16,10,1,0,0,0,-3,-3,7,7
2002102707,2002,"2002-10","NE","DEN",22,10,1,1,0,0,-8,3,14,7
2002111100,2002,"2002-10","DEN","LV",10,19,1,1,0,0,-24,6,15,8
2002111709,2002,"2002-10","SEA","DEN",28,10,1,0,1,0,-22,-5.5,7,6
2002112412,2002,"2002-10","DEN","IND",10,14,1,0,0,0,-3,6,7,7
2002120105,2002,"2002-10","LAC","DEN",18,10,1,0,0,0,3,-3,7,7
2002120809,2002,"2002-10","NYJ","DEN",25,10,1,0,-1,0,6,-1.5,6,7
2002121507,2002,"2002-10","DEN","KC",10,16,1,0,0,0,7,3.5,7,7
2002122209,2002,"2002-10","LV","DEN",19,10,1,0,0,0,12,3.5,7,7
2002090806,2002,"2002-10","MIA","DET",20,11,1,0,0,0,28,9.5,NA,NA
2002092207,2002,"2002-10","DET","GB",11,12,1,0,0,0,-6,-7.5,7,7
2002092912,2002,"2002-10","DET","NO",11,23,1,0,0,0,5,-9,7,7
2002101308,2002,"2002-10","MIN","DET",21,11,1,0,0,0,7,4.5,14,14
2002111004,2002,"2002-10","GB","DET",12,11,1,0,-1,0,26,10.5,6,7
2002111713,2002,"2002-10","DET","NYJ",11,25,1,0,0,0,-17,-3,7,7
2002112800,2002,"2002-10","DET","NE",11,22,1,0,0,0,-8,-6,4,4
2002121503,2002,"2002-10","DET","TB",11,30,1,0,0,0,-3,-9.5,7,7
2002122912,2002,"2002-10","DET","MIN",11,21,1,0,0,0,-2,-3.5,7,8
2002091506,2002,"2002-10","NO","GB",23,12,1,0,0,0,15,-2.5,7,7
2002101310,2002,"2002-10","NE","GB",22,12,1,0,1,0,-18,4.5,7,6
2002102011,2002,"2002-10","GB","WAS",12,32,1,0,0,0,21,7,7,7
2002110400,2002,"2002-10","GB","MIA",12,20,1,0,0,0,14,4.5,15,15
2002111710,2002,"2002-10","MIN","GB",21,12,1,0,0,0,10,-6.5,7,7
2002112409,2002,"2002-10","TB","GB",30,12,1,0,0,0,14,3,7,7
2002120813,2002,"2002-10","GB","MIN",12,21,1,0,0,0,4,9.5,7,7
2002121511,2002,"2002-10","SF","GB",29,12,1,0,0,0,-6,3,7,7
2002122907,2002,"2002-10","NYJ","GB",25,12,1,0,0,0,25,-1.5,7,7
2002091513,2002,"2002-10","LAC","HOU",18,13,1,0,0,0,21,13.5,7,7
2002092206,2002,"2002-10","HOU","IND",13,14,1,0,0,0,-20,-10.5,7,7
2002092908,2002,"2002-10","PHI","HOU",26,13,1,0,0,0,18,19,7,7
2002102709,2002,"2002-10","JAX","HOU",15,13,1,0,0,0,-2,11,7,7
2002111006,2002,"2002-10","TEN","HOU",31,13,1,0,0,0,7,9,7,7
2002111711,2002,"2002-10","HOU","JAX",13,15,1,0,0,0,-3,-6.5,7,7
2002112408,2002,"2002-10","HOU","NYG",13,24,1,0,0,0,2,-5.5,7,7
2002120107,2002,"2002-10","IND","HOU",14,13,1,0,0,0,16,11.5,7,7
2002120808,2002,"2002-10","PIT","HOU",27,13,1,0,0,0,-18,14,7,7
2002122206,2002,"2002-10","WAS","HOU",32,13,1,0,0,0,16,6.5,7,7
2002122901,2002,"2002-10","HOU","TEN",13,31,1,0,0,0,-10,-9.5,7,7
2002090808,2002,"2002-10","JAX","IND",15,14,1,0,0,0,-3,-3.5,NA,NA
2002091510,2002,"2002-10","IND","MIA",14,20,1,0,0,0,-8,0,7,7
2002102100,2002,"2002-10","PIT","IND",27,14,1,0,0,0,18,4.5,8,8
2002102711,2002,"2002-10","WAS","IND",32,14,1,0,1,0,5,1,7,6
2002110301,2002,"2002-10","IND","TEN",14,31,1,0,0,0,-8,3,7,7
2002111008,2002,"2002-10","PHI","IND",26,14,1,0,0,0,-22,9.5,7,7
2002120810,2002,"2002-10","TEN","IND",31,14,1,0,0,0,10,-1,7,7
2002122210,2002,"2002-10","IND","NYG",14,24,1,0,0,0,-17,4.5,7,7
2002122903,2002,"2002-10","IND","JAX",14,15,1,0,0,0,7,8.5,7,7
2002091508,2002,"2002-10","KC","JAX",16,15,1,0,0,0,-7,3.5,7,7
2002092901,2002,"2002-10","JAX","NYJ",15,25,1,1,0,0,25,3.5,14,7
2002100607,2002,"2002-10","JAX","PHI",15,26,1,0,0,0,3,-3,7,7
2002101312,2002,"2002-10","TEN","JAX",31,15,1,0,0,0,9,-1.5,7,7
2002110311,2002,"2002-10","NYG","JAX",24,15,1,0,-1,0,7,3,6,7
2002111005,2002,"2002-10","JAX","WAS",15,32,1,0,0,0,19,1.5,7,7
2002120101,2002,"2002-10","JAX","PIT",15,27,1,0,0,0,-2,-3,7,7
2002122203,2002,"2002-10","JAX","TEN",15,31,1,0,1,0,-18,-3,7,6
2002092208,2002,"2002-10","NE","KC",22,16,1,0,0,0,3,8.5,7,7
2002092910,2002,"2002-10","KC","MIA",16,20,1,0,0,0,18,-3,7,7
2002100603,2002,"2002-10","NYJ","KC",25,16,1,0,0,0,-4,-3,7,7
2002101307,2002,"2002-10","LAC","KC",18,16,1,0,0,0,1,3,7,7
2002102708,2002,"2002-10","KC","LV",16,19,1,0,0,0,10,-2.5,7,7
2002111007,2002,"2002-10","SF","KC",29,16,1,-1,0,0,4,5,7,14
2002112405,2002,"2002-10","SEA","KC",28,16,1,0,0,0,7,-3.5,7,7
2002120801,2002,"2002-10","KC","LA",16,17,1,0,0,0,39,4.5,7,7
2002122201,2002,"2002-10","KC","LAC",16,18,1,0,0,0,2,1.5,7,7
2002122801,2002,"2002-10","LV","KC",19,16,1,0,0,0,24,8.5,6,6
2002091507,2002,"2002-10","LA","NYG",17,24,1,0,0,-1,-5,12,7,10
2002092300,2002,"2002-10","TB","LA",30,17,1,0,0,0,12,-1.5,8,8
2002100609,2002,"2002-10","SF","LA",29,17,1,1,0,0,24,6,14,7
2002101309,2002,"2002-10","LA","LV",17,19,1,0,0,0,15,-7,7,7
2002102012,2002,"2002-10","LA","SEA",17,28,1,0,1,0,17,6.5,7,6
2002111001,2002,"2002-10","LA","LAC",17,18,1,0,0,0,4,6,7,7
2002112410,2002,"2002-10","WAS","LA",32,17,1,0,1,0,3,-3.5,7,6
2002120111,2002,"2002-10","PHI","LA",26,17,1,0,-1,0,7,-2,6,7
2002122205,2002,"2002-10","SEA","LA",28,17,1,0,0,0,20,2.5,7,7
2002123000,2002,"2002-10","LA","SF",17,29,1,0,0,0,11,2,8,9
2002092907,2002,"2002-10","LAC","NE",18,22,1,0,0,0,7,-3,7,7
2002102007,2002,"2002-10","LV","LAC",19,18,1,0,0,0,-6,7,7,7
2002110303,2002,"2002-10","LAC","NYJ",18,25,1,1,0,0,-31,8.5,14,7
